time,depth,Latitude,Longitude,Type,name,file_size,URL_img,URL_file
2019-03-06T04:59:49.658,419.1,-64.93962367,-57.79293067,HOTKEY,HOTKEY_2019_03_06_at_05_00_03_IMG_0052,4248,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_00_03_IMG_0052.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_00_03_IMG_0052.txt
2019-03-06T05:03:39.603,429.35,-64.93926017,-57.791787,HOTKEY,HOTKEY_2019_03_06_at_05_03_46_IMG_0061,5325,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_03_46_IMG_0061.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_03_46_IMG_0061.txt
2019-03-06T05:04:21.963,429.98,-64.939228,-57.79187483,HOTKEY,HOTKEY_2019_03_06_at_05_04_28_IMG_0064,5995,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_04_28_IMG_0064.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_04_28_IMG_0064.txt
2019-03-06T05:05:40.628,429.96,-64.93917483,-57.79201017,HOTKEY,HOTKEY_2019_03_06_at_05_05_47_IMG_0068,5875,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_05_47_IMG_0068.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_05_47_IMG_0068.txt
2019-03-06T05:05:52.731,430.14,-64.9391535,-57.79200767,HOTKEY,HOTKEY_2019_03_06_at_05_05_57_IMG_0069,5064,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_05_57_IMG_0069.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_05_57_IMG_0069.txt
2019-03-06T05:06:04.833,430.1,-64.939153,-57.79205483,HOTKEY,HOTKEY_2019_03_06_at_05_06_08_IMG_0070,5466,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_06_08_IMG_0070.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_06_08_IMG_0070.txt
2019-03-06T05:06:47.192,429.98,-64.93913167,-57.7921265,HOTKEY,HOTKEY_2019_03_06_at_05_06_55_IMG_0073,5788,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_06_55_IMG_0073.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_06_55_IMG_0073.txt
2019-03-06T05:07:23.498,430.03,-64.939109,-57.79219533,HOTKEY,HOTKEY_2019_03_06_at_05_07_31_IMG_0075,6303,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_07_31_IMG_0075.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_07_31_IMG_0075.txt
2019-03-06T05:08:17.960,429.98,-64.93907317,-57.79228417,HOTKEY,HOTKEY_2019_03_06_at_05_08_28_IMG_0079,6037,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_08_28_IMG_0079.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_08_28_IMG_0079.txt
2019-03-06T05:14:51.290,429.81,-64.93881067,-57.79297567,HOTKEY,HOTKEY_2019_03_06_at_05_14_58_IMG_0113,3717,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_14_58_IMG_0113.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_14_58_IMG_0113.txt
2019-03-06T05:14:57.341,429.97,-64.93879883,-57.79297617,HOTKEY,HOTKEY_2019_03_06_at_05_15_04_IMG_0114,4689,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_15_04_IMG_0114.jpg,https://hs.pangaea.de/Images/OFOS/PS/PS118/PS118_6-9/HOTKEY_2019_03_06_at_05_15_04_IMG_0114.txt
