"imgs","encrustPercent"
"IMG_0590","6.01204110844965"
"IMG_0734","2.36633089220416"
"IMG_0816","0.083718477963596"
"IMG_0853","10.2395967428503"
"IMG_0956","0.833323472477388"
"IMG_1011","1.56762264556245"
"IMG_1106","70"
"IMG_1185","62.1337109124551"
"IMG_1195","31.5834806220376"
"IMG_1208","50.2229395561029"
"IMG_1224","70.2977048607275"
"IMG_0148","0.945274008938314"
"IMG_0178","2.19849334831589"
"IMG_0188","1.31379897447118"
"IMG_0246","2.67809933245365"
"IMG_0231","2.757743548499"
"IMG_0266","0.838406904097698"
"IMG_0282","5.45203257882025"
"IMG_0310","1.43774884680376"
"IMG_0315","4.35108636796232"
"IMG_0333","6.05414071686371"
"IMG_0381","2.76443746580878"
"IMG_0455","4.91875950375004"
"IMG_0458","8.689836777773"
"IMG_0459","4.60961773155732"
"IMG_0470","3.59186182778315"
"IMG_0494","7.30749053250296"
"IMG_0555","7.42926374070387"
"IMG_0700","2.15654656615585"
"IMG_0738","3.18910205137976"
"IMG_0828","0.626368173246792"
"IMG_0859","1.93274519958204"
"IMG_0926","1.58141650518589"
"IMG_0942","2.37136933570704"
"IMG_0970","1.85631712719092"
"IMG_1023","30.1211642969302"
"IMG_1124","31.1439596752393"
"IMG_1134","3.10147292604914"
"IMG_1139","55.1277280172058"
"IMG_1220","3.20756016240196"
